Date	Close	Open	High	Low	% var.
12.09.2017	"11,735"	"11,883"	"11,934"	"11,702"	"0,15"
11.09.2017	"11,881"	"12,021"	"12,094"	"11,996"	"0,23"
10.09.2017	"12,035"	"12,001"	"12,012"	"11,983"	-0.33
09.09.2017	"11,952"	"12,036"	"12,083"	"12,011"	"0,46"
08.09.2017	"12,035"	"12,024"	"12,094"	"12,016"	"0,10"
07.09.2017	"12,023"	"11,917"	"12,061"	"11,914"	"0,89"
06.09.2017	"11,917"	"11,914"	"11,951"	"11,903"	"0,03"
05.09.2017	"11,914"	"11,896"	"11,941"	"11,868"	"0,15"
04.09.2017	"11,896"	"11,858"	"11,923"	"11,853"	"0,31"
01.09.2017	"11,859"	"11,911"	"11,981"	"11,850"	"-0,43"
31.08.2017	"11,910"	"11,884"	"11,914"	"11,823"	"0,23"
30.08.2017	"11,883"	"11,974"	"11,986"	"11,881"	"-0,74"
29.08.2017	"11,972"	"11,978"	"12,069"	"11,945"	"-0,06"
28.08.2017	"11,979"	"11,926"	"11,985"	"11,917"	"0,44"
25.08.2017	"11,926"	"11,799"	"11,942"	"11,773"	"1,08"
24.08.2017	"11,799"	"11,807"	"11,821"	"11,784"	"-0,07"
23.08.2017	"11,807"	"11,763"	"11,825"	"11,741"	"0,38"
22.08.2017	"11,762"	"11,815"	"11,826"	"11,745"	"-0,46"
21.08.2017	"11,816"	"11,750"	"11,830"	"11,731"	"0,46"
18.08.2017	"11,762"	"11,723"	"11,775"	"11,707"	"0,32"
17.08.2017	"11,724"	"11,767"	"11,790"	"11,662"	"-0,39"
16.08.2017	"11,770"	"11,734"	"11,780"	"11,682"	"0,30"
15.08.2017	"11,735"	"11,780"	"11,794"	"11,688"	"-0,38"
14.08.2017	"11,780"	"11,804"	"11,840"	"11,768"	"-0,34"
11.08.2017	"11,820"	"11,772"	"11,846"	"11,747"	"0,41"
10.08.2017	"11,772"	"11,759"	"11,786"	"11,704"	"0,11"
09.08.2017	"11,759"	"11,752"	"11,765"	"11,689"	"0,08"
08.08.2017	"11,750"	"11,794"	"11,825"	"11,714"	"-0,38"
07.08.2017	"11,795"	"11,768"	"11,816"	"11,768"	"0,20"
04.08.2017	"11,772"	"11,871"	"11,893"	"11,731"	"-0,83"
03.08.2017	"11,870"	"11,856"	"11,894"	"11,831"	"0,12"
02.08.2017	"11,856"	"11,802"	"11,911"	"11,794"	"0,47"
01.08.2017	"11,801"	"11,841"	"11,846"	"11,784"	"-0,35"
31.07.2017	"11,842"	"11,737"	"11,847"	"11,723"	"0,77"
28.07.2017	"11,752"	"11,677"	"11,765"	"11,671"	"0,64"
27.07.2017	"11,677"	"11,734"	"11,777"	"11,649"	"-0,49"
26.07.2017	"11,734"	"11,648"	"11,741"	"11,613"	"0,70"
25.07.2017	"11,652"	"11,639"	"11,713"	"11,631"	"0,09"
24.07.2017	"11,642"	"11,662"	"11,688"	"11,628"	"-0,18"
21.07.2017	"11,663"	"11,634"	"11,684"	"11,620"	"0,28"
20.07.2017	"11,631"	"11,513"	"11,657"	"11,479"	"1,01"
19.07.2017	"11,515"	"11,553"	"11,559"	"11,509"	"-0,35"
18.07.2017	"11,555"	"11,479"	"11,585"	"11,473"	"0,66"
17.07.2017	"11,479"	"11,463"	"11,488"	"11,433"	"0,09"
14.07.2017	"11,469"	"11,400"	"11,473"	"11,392"	"0,61"
13.07.2017	"11,399"	"11,413"	"11,459"	"11,373"	"-0,11"
12.07.2017	"11,412"	"11,467"	"11,491"	"11,392"	"-0,48"
11.07.2017	"11,467"	"11,399"	"11,481"	"11,383"	"0,59"
10.07.2017	"11,400"	"11,391"	"11,418"	"11,381"	"-0,01"
07.07.2017	"11,401"	"11,423"	"11,440"	"11,379"	"-0,19"
06.07.2017	"11,423"	"11,351"	"11,425"	"11,329"	"0,62"
05.07.2017	"11,353"	"11,345"	"11,369"	"11,312"	"0,07"
04.07.2017	"11,345"	"11,366"	"11,380"	"11,338"	"-0,17"
03.07.2017	"11,364"	"11,422"	"11,431"	"11,357"	"-0,54"
30.06.2017	"11,426"	"11,442"	"11,448"	"11,393"	"-0,13"
29.06.2017	"11,441"	"11,376"	"11,446"	"11,373"	"0,55"
28.06.2017	"11,378"	"11,339"	"11,392"	"11,292"	"0,34"
27.06.2017	"11,339"	"11,183"	"11,351"	"11,178"	"1,40"
26.06.2017	"11,182"	"11,202"	"11,222"	"11,173"	"-0,11"
23.06.2017	"11,194"	"11,152"	"11,211"	"11,145"	"0,37"
22.06.2017	"11,153"	"11,168"	"11,179"	"11,140"	"-0,13"
21.06.2017	"11,168"	"11,133"	"11,171"	"11,128"	"0,31"
20.06.2017	"11,134"	"11,147"	"11,166"	"11,117"	"-0,13"
19.06.2017	"11,149"	"11,199"	"11,214"	"11,141"	"-0,43"
16.06.2017	"11,197"	"11,143"	"11,202"	"11,138"	"0,47"
15.06.2017	"11,145"	"11,219"	"11,231"	"11,132"	"-0,65"
14.06.2017	"11,218"	"11,210"	"11,296"	"11,191"	"0,02"
13.06.2017	"11,216"	"11,204"	"11,225"	"11,185"	"0,12"
12.06.2017	"11,203"	"11,196"	"11,235"	"11,193"	"0,07"
09.06.2017	"11,195"	"11,216"	"11,240"	"11,168"	"-0,17"
08.06.2017	"11,214"	"11,257"	"11,270"	"11,195"	"-0,38"
07.06.2017	"11,257"	"11,277"	"11,284"	"11,205"	"-0,18"
06.06.2017	"11,277"	"11,254"	"11,286"	"11,240"	"0,20"
05.06.2017	"11,254"	"11,279"	"11,286"	"11,235"	"-0,25"
02.06.2017	"11,282"	"11,213"	"11,287"	"11,205"	"0,62"
01.06.2017	"11,213"	"11,242"	"11,258"	"11,203"	"-0,28"
31.05.2017	"11,244"	"11,187"	"11,254"	"11,166"	"0,53"
30.05.2017	"11,185"	"11,166"	"11,208"	"11,111"	"0,17"
29.05.2017	"11,166"	"11,178"	"11,191"	"11,160"	"-0,15"
